id,text,associated_user,lang,time_zone,geolocation,recorded_at,occurred_at
110,RT @Keir_Starmer: Parliament should vote on PM's proposed 'hard Brexit' negotiating terms: result did not give govt blank cheque https://t.…,1466786761,en,Amsterdam,,2016-10-10 22:21:11.193582,2016-10-10 22:21:11
111,RT @notgivinguponeu: #brexit as portrayed by portugese media @expresso sadly too accurate for comfort... https://t.co/zsFWOAV9co,35741698,en,London,,2016-10-10 22:21:11.839775,2016-10-10 22:21:11
112,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,20549706,en,London,,2016-10-10 22:21:12.784014,2016-10-10 22:21:12
113,RT @iainmartin1: Emily Thornberry... Emily Thornberry... a walking advert for Brexit. @BBCNewsnight,575716499,en,UTC,,2016-10-10 22:21:12.894574,2016-10-10 22:21:12
114,"RT @TheNewEuropean: The effects of #Brexit are likely to be felt in Northern Ireland more than anywhere else, says @PeterKGeoghegan https:/…",1926360132,en,London,,2016-10-10 22:21:13.432998,2016-10-10 22:21:13
115,RT @Fxflow: Talking to a Reuters reporter about Brexit and GBPUSD  trading I noted that in  FX feelings always trump numbers,1911185905,en,,,2016-10-10 22:21:13.853956,2016-10-10 22:21:13
116,RT @SkyNews: TIMES FRONT PAGE 'Hard Brexit could cost £66bn a year' #skypapers https://t.co/D4MMPjdfAY,2715611875,en,,,2016-10-10 22:21:14.047305,2016-10-10 22:21:13
117,"RT @faisalislam: Full letter from, Conservative, Leave backing MP, Stephen Phillips QC likening idea of bypassing PArliament on Brex… ",20313201,en,London,,2016-10-10 22:21:15.810528,2016-10-10 22:21:15
118,"RT @suttonnick: Tuesday's Times front page:
Hard Brexit could cost £66bn a year
#tomorrowspaperstoday #bbcpapers https://t.co/jOb8RRZXAE",312171721,en,London,,2016-10-10 22:21:16.325492,2016-10-10 22:21:16
119,RT @OwenSmith_MP: David Davis used to support giving the British people the final say on terms of Brexit. When did he change his mind… ,361904655,en,London,,2016-10-10 22:21:17.361204,2016-10-10 22:21:17
120,RT @RupertMyers: When he realised they might find his negotiated outcome to be dismal https://t.co/Uu9JkNX3WK,1134110076,en,London,,2016-10-10 22:21:18.539568,2016-10-10 22:21:18
629,RT @DanRebellato: Doctor Who has a handy metaphor for Brexit Britain taking its country back. https://t.co/sMDrUd6mFM,48180446,en,Amsterdam,,2016-10-11 09:20:23.29672,2016-10-11 09:20:23
121,"RT @SkyNews: Recent fears over the plunging value of the pound post #Brexit are ""over the top"" says a former Bank of England boss https://t…",19596409,en,London,,2016-10-10 22:21:19.571019,2016-10-10 22:21:19
122,"RT @chislehurst: #Brexit 
Please VOTE and RT 
I want to take a snapshot of where we are now. Do you want...",410207090,en,Casablanca,,2016-10-10 22:21:20.444209,2016-10-10 22:21:20
123,"RT @Ricardo_blogger: Hacen mierda a la gente, favorecen a las multinacionales, bancos y después no entienden de dónde salen las Le Pen, los…",202926669,es,Eastern Time (US & Canada),,2016-10-10 23:20:31.757296,2016-10-10 23:20:31
124,"RT @2020EU: ‘Drawing Europe’ - #BREXIT
@ https://t.co/yPnYqXBlOy https://t.co/XTCWlekmNM",211077825,pl,Eastern Time (US & Canada),,2016-10-10 23:20:31.838206,2016-10-10 23:20:31
125,RT @Nigel_Farage: US election is about continuity vs. change. Brexit shows that the people can beat the establishment. #Debate https://t.co…,3277658832,en,,,2016-10-10 23:20:35.266645,2016-10-10 23:20:35
126,"RT @Fifthcolumnblue: BUT THINK OF ALL THOSE NICE HOLIDAYS YOU CAN HAVE IN ENGLAND. LOLZ. #Brexit 
https://t.co/PI0wv74V3P",439494644,en,London,,2016-10-10 23:20:35.641903,2016-10-10 23:20:35
127,"RT @SocialistVoice: I see Blairites are at it again, attacking Jeremy Corbyn rather than the Tories. They're worse than petulant kids https…",740748283,en,,,2016-10-10 23:20:39.479463,2016-10-10 23:20:39
128,"RT @SebastianEPayne: This is why the Tory Leave Means Leave pressure group should be treated with caution. Their slogan is ""no deal is b… ",724156579,en,,,2016-10-10 23:20:40.393848,2016-10-10 23:20:40
129,"RT @CityJohn: Take. Back. Control. As your country collapses around you. Still, taught that Romanian care home worker a valuable… ",331269606,en,,,2016-10-10 23:20:40.972299,2016-10-10 23:20:40
130,RT @RTUKnews: Borderline madness: Ireland tells UK to ‘feck off’ over #Brexit border proposal https://t.co/lxQfJ72h1n https://t.co/jct7awdD…,2674362811,en,,,2016-10-10 23:20:42.834862,2016-10-10 23:20:42
131,RT @Channel4News: @UKLabour's Shadow Brexit Secretary Keir Starmer criticises the Government's plans for leaving the EU without a vot… ,38775745,en,London,,2016-10-10 23:20:42.946739,2016-10-10 23:20:42
132,RT @StephenBulled: The REMAINIACS are still trying to stitch us up over BREXIT🇬🇧🇬🇧 https://t.co/G8B4WOx8qe,87339732,en,,,2016-10-10 23:20:43.000509,2016-10-10 23:20:42
133,"RT @JohnClarke1960: Tories on target to cripple UK economy if we have Hard #Brexit on top of Austerity.
#Madness https://t.co/BUQy9PzqLC",1015212848,en,,,2016-10-10 23:20:45.135415,2016-10-10 23:20:44
134,"RT @elliwsan: ""We must make breakfast ... brexit a success"" https://t.co/hpPzur8RXe",315417642,en,London,,2016-10-10 23:20:53.158387,2016-10-10 23:20:52
135,RT @diponte: So leaving the EU &amp; Single Market wld cost £66bn yearly - that's EIGHT times what we currently pay for EU membership https://t…,21009701,en,Edinburgh,,2016-10-10 23:20:54.163963,2016-10-10 23:20:53
136,"RT @Acap42: Seriously, can Brexit stop meaning Brexit now?!?! https://t.co/1gzD2SAORU",2605032048,en,Pacific Time (US & Canada),,2016-10-10 23:20:55.174346,2016-10-10 23:20:54
137,RT @marktigheST: Brexit to cost UK billions. No worries. The Daily Telegraph is campaigning for a new royal yacht. https://t.co/9MgGeH93YY,774725611206111232,en,,,2016-10-10 23:20:56.346443,2016-10-10 23:20:56
138,RT @lindayueh: HMT est GDP will be smaller under WTO; PM faces potential legal challenge over #Brexit without parliament's approval https:/…,74991775,en,Bangkok,,2016-10-10 23:20:59.563025,2016-10-10 23:20:59
139,RT @BreitbartLondon: Deutsche Post Committed to Britain Despite Brexit Vote https://t.co/ftGK4Fq8cu https://t.co/GqY6hvtqSH,51691170,de,London,,2016-10-10 23:21:03.041206,2016-10-10 23:21:02
